,Departure,95,90,80,70
0,05:24,83.89416666666666,83.32,56.05,55.14666666666667
1,05:44,65.53,64.98666666666666,64.61666666666667,64.14333333333335
2,06:04,72.44083333333333,70.98666666666666,70.17666666666668,70.045
3,06:14,62.44083333333333,60.986666666666665,60.17666666666666,60.044999999999995
4,06:24,66.36,65.88166666666666,65.49666666666667,65.14833333333334
5,06:34,72.66250000000001,72.06,70.89666666666666,70.665
6,06:44,75.87333333333333,75.19666666666667,62.71666666666667,61.47
7,06:54,66.86,66.565,66.14666666666666,65.88000000000001
8,07:04,73.5775,71.94166666666666,71.12666666666667,70.62666666666667
9,07:09,68.5775,66.94166666666666,66.12666666666667,65.62666666666667
10,07:14,76.43583333333333,76.03333333333333,75.23666666666666,73.49833333333333
11,07:19,74.68999999999993,72.06166666666667,71.52333333333333,71.33166666666666
12,07:24,80.45083333333334,77.82,66.98333333333333,66.46666666666667
13,07:29,77.97166666666665,76.305,75.21333333333334,74.36166666666666
14,07:34,73.02333333333331,71.58666666666667,70.98666666666666,70.63333333333334
15,07:39,97.51083333333332,67.75833333333333,66.22,65.68333333333334
16,07:44,97.07916666666667,95.955,94.81333333333333,94.30833333333332
17,07:49,93.0033333333333,91.61333333333333,90.68333333333334,90.25
18,07:54,87.84833333333331,86.60166666666666,85.76,85.25
19,07:59,82.84833333333331,81.60166666666666,80.76,80.295
20,08:04,77.84833333333331,76.60166666666666,75.76,75.33
21,08:14,92.9375,67.22,66.03666666666666,65.59166666666665
22,08:24,86.64666666666666,85.87,85.49666666666667,84.90333333333334
23,08:34,76.69083333333332,76.11999999999999,75.75333333333333,75.37666666666667
24,08:44,67.35333333333332,66.17333333333333,65.78,65.39333333333335
25,08:54,85.73416666666667,85.115,84.67999999999999,84.01666666666667
26,09:04,76.47,75.85833333333333,75.42666666666666,74.915
27,09:24,85.79083333333332,85.36666666666666,85.03,84.58166666666666
28,09:44,66.26666666666667,65.71000000000001,65.31,64.99333333333334
29,10:04,76.91666666666667,76.36333333333333,75.70333333333333,75.22333333333333
30,10:24,87.29916666666666,86.44,85.52,85.08333333333333
31,10:44,67.33666666666666,66.69666666666667,66.15,65.55666666666666
32,11:04,77.38999999999999,76.90333333333334,76.2,75.91666666666667
33,11:24,86.99666666666667,86.36333333333333,85.61666666666666,85.315
34,11:44,67.18583333333333,66.89666666666666,66.06,65.59833333333333
35,12:04,78.36666666666666,77.14666666666666,76.36666666666667,75.81333333333333
36,12:24,72.47666666666667,71.58666666666667,70.55,70.01
37,12:44,68.37166666666666,67.43,66.76666666666667,66.19833333333334
38,13:04,70.7525,69.11999999999999,62.026666666666664,61.445
39,13:24,68.22083333333333,67.3,66.46666666666667,66.05833333333334
40,13:44,77.54833333333333,76.47333333333333,75.72666666666667,74.92666666666666
41,14:04,82.26333333333332,80.04333333333334,79.11333333333334,78.31333333333333
42,14:14,73.08999999999997,70.63333333333333,69.31,68.48166666666667
43,14:24,78.71583333333334,77.19333333333333,76.13000000000001,75.45
44,14:34,81.17249999999999,79.30333333333333,67.05666666666666,65.85833333333332
45,14:44,78.35833333333333,75.63333333333333,73.71666666666667,72.68333333333334
46,14:54,85.38666666666663,81.65333333333334,78.40666666666667,76.71666666666667
47,15:04,83.78083333333333,80.42666666666668,78.34,74.83
48,15:14,79.47499999999998,74.845,72.40333333333334,71.34833333333333
49,15:24,82.33,77.50666666666666,75.28333333333333,73.28999999999999
50,15:34,80.38749999999999,77.52166666666668,76.15333333333334,75.35666666666665
51,15:44,82.06583333333333,79.935,72.97000000000001,68.95
52,15:54,83.2125,76.35833333333333,72.61333333333333,71.38000000000001
53,16:04,76.14666666666666,75.45333333333333,73.33666666666666,64.79333333333332
54,16:14,80.25333333333333,67.89,66.54666666666667,65.96333333333334
55,16:24,73.80749999999999,71.84166666666667,71.2,70.41666666666667
56,16:44,67.79583333333333,67.255,66.43333333333334,66.11
57,17:04,75.84666666666666,74.69166666666666,62.22,61.44833333333334
58,17:24,88.3,87.68333333333334,86.75666666666666,85.86999999999999
59,17:44,71.41666666666666,68.165,67.18333333333334,66.27499999999999
60,18:04,77.10083333333333,76.33333333333333,75.7,75.24833333333333
61,18:34,77.67083333333333,76.63833333333334,75.96000000000001,75.36333333333333
62,19:04,76.655,75.82666666666667,75.46000000000001,75.04666666666667
63,19:24,86.14166666666668,85.66666666666666,84.86666666666666,84.35
64,19:44,68.975,66.37,65.88333333333333,65.23
65,20:04,80.57583333333334,78.78333333333333,75.78333333333333,74.85
66,20:34,80.29666666666665,78.07333333333332,75.65,74.92666666666668
67,21:04,122.24999999999997,119.28,114.59,111.05333333333333
68,21:34,92.12916666666665,89.26833333333333,84.53,81.12333333333333
69,22:04,116.67083333333333,114.68333333333334,112.35,107.875
70,22:34,86.70333333333332,84.77333333333333,82.82333333333332,78.25
71,23:04,101.94583333333334,100.70833333333334,98.25,94.88333333333333
72,23:34,72.14,70.78333333333333,68.30333333333333,65.13999999999999
